,disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
212,"(""Crohn's disease"", 'ulcerative colitis')",IL23R,"RBFOX1, CAPN14, UMPS, LPP",Crohn's disease,ulcerative colitis," CAPN14,  LPP,  UMPS, RBFOX1, IL23R","Out of the given list, which Gene is associated with Crohn's disease and ulcerative colitis. Given list is:  CAPN14,  LPP,  UMPS, RBFOX1, IL23R",DOID:8778,DOID:8577
213,"('urticaria', 'male breast cancer')",RAD51B,"GSDMB, TENM2, TGM2, HLA-B",urticaria,male breast cancer," TGM2,  TENM2,  HLA-B, RAD51B, GSDMB","Out of the given list, which Gene is associated with urticaria and male breast cancer. Given list is:  TGM2,  TENM2,  HLA-B, RAD51B, GSDMB",DOID:1555,DOID:1614
214,"('allergic rhinitis', 'psoriasis')",HLA-B,"MYH7, MYH7, PKNOX2, ADH1B",allergic rhinitis,psoriasis," MYH7,  ADH1B, MYH7, HLA-B,  PKNOX2","Out of the given list, which Gene is associated with allergic rhinitis and psoriasis. Given list is:  MYH7,  ADH1B, MYH7, HLA-B,  PKNOX2",DOID:4481,DOID:8893
215,"('allergic rhinitis', 'limited scleroderma')",TLR1,"SNCA, EPDR1, HLA-DQB1, SHTN1",allergic rhinitis,limited scleroderma,"SNCA,  HLA-DQB1, TLR1,  EPDR1,  SHTN1","Out of the given list, which Gene is associated with allergic rhinitis and limited scleroderma. Given list is: SNCA,  HLA-DQB1, TLR1,  EPDR1,  SHTN1",DOID:4481,DOID:1577
216,"('allergic rhinitis', ""Takayasu's arteritis"")",HLA-B,"STN1, MORC4, ABO, PNPLA3",allergic rhinitis,Takayasu's arteritis," MORC4, STN1,  ABO, HLA-B,  PNPLA3","Out of the given list, which Gene is associated with allergic rhinitis and Takayasu's arteritis. Given list is:  MORC4, STN1,  ABO, HLA-B,  PNPLA3",DOID:4481,DOID:2508
217,"('allergic rhinitis', 'myelodysplastic syndrome')",HLA-B,"SHTN1, TRAF3IP2, FADS1, ATXN2",allergic rhinitis,myelodysplastic syndrome," TRAF3IP2,  FADS1, SHTN1,  ATXN2, HLA-B","Out of the given list, which Gene is associated with allergic rhinitis and myelodysplastic syndrome. Given list is:  TRAF3IP2,  FADS1, SHTN1,  ATXN2, HLA-B",DOID:4481,DOID:0050908
218,"('allergic rhinitis', 'herpes zoster')",HLA-B,"RELN, CHST11, HLA-DQB1, TP53",allergic rhinitis,herpes zoster," CHST11, HLA-B,  HLA-DQB1, RELN,  TP53","Out of the given list, which Gene is associated with allergic rhinitis and herpes zoster. Given list is:  CHST11, HLA-B,  HLA-DQB1, RELN,  TP53",DOID:4481,DOID:8536
219,"('allergic rhinitis', 'diffuse large B-cell lymphoma')",HLA-B,"ATXN2, TERT, CACNA1A, EPDR1",allergic rhinitis,diffuse large B-cell lymphoma,"HLA-B,  CACNA1A,  TERT,  EPDR1, ATXN2","Out of the given list, which Gene is associated with allergic rhinitis and diffuse large B-cell lymphoma. Given list is: HLA-B,  CACNA1A,  TERT,  EPDR1, ATXN2",DOID:4481,DOID:0050745
220,"('allergic rhinitis', 'psoriatic arthritis')",HLA-B,"FTO, FAM227B, KIF1B, RP1",allergic rhinitis,psoriatic arthritis,"HLA-B,  FAM227B,  RP1, FTO,  KIF1B","Out of the given list, which Gene is associated with allergic rhinitis and psoriatic arthritis. Given list is: HLA-B,  FAM227B,  RP1, FTO,  KIF1B",DOID:4481,DOID:9008
221,"('marginal zone lymphoma', 'diffuse large B-cell lymphoma')",KALRN,"FHOD3, RP1, AHR, PBX2",marginal zone lymphoma,diffuse large B-cell lymphoma,"FHOD3,  PBX2,  RP1, KALRN,  AHR","Out of the given list, which Gene is associated with marginal zone lymphoma and diffuse large B-cell lymphoma. Given list is: FHOD3,  PBX2,  RP1, KALRN,  AHR",DOID:0050748,DOID:0050745
222,"('diffuse large B-cell lymphoma', 'psoriasis')",HLA-B,"CLPTM1L, ADGRG6, MST1, ERAP1",diffuse large B-cell lymphoma,psoriasis," ERAP1, CLPTM1L,  ADGRG6, HLA-B,  MST1","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and psoriasis. Given list is:  ERAP1, CLPTM1L,  ADGRG6, HLA-B,  MST1",DOID:0050745,DOID:8893
223,"('diffuse large B-cell lymphoma', ""Takayasu's arteritis"")",HLA-B,"RORA, HLA-DQA1, CRTC1, GTF2I",diffuse large B-cell lymphoma,Takayasu's arteritis," GTF2I,  HLA-DQA1, HLA-B,  CRTC1, RORA","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and Takayasu's arteritis. Given list is:  GTF2I,  HLA-DQA1, HLA-B,  CRTC1, RORA",DOID:0050745,DOID:2508
224,"('diffuse large B-cell lymphoma', 'myelodysplastic syndrome')",HLA-B,"HLA-DQA1, IL23R, TERT, TNXB",diffuse large B-cell lymphoma,myelodysplastic syndrome," IL23R,  TERT, HLA-B, HLA-DQA1,  TNXB","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and myelodysplastic syndrome. Given list is:  IL23R,  TERT, HLA-B, HLA-DQA1,  TNXB",DOID:0050745,DOID:0050908
225,"('diffuse large B-cell lymphoma', 'herpes zoster')",HLA-B,"RBFOX1, HLA-DQA1, CDKAL1, SNCA",diffuse large B-cell lymphoma,herpes zoster," SNCA,  CDKAL1,  HLA-DQA1, HLA-B, RBFOX1","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and herpes zoster. Given list is:  SNCA,  CDKAL1,  HLA-DQA1, HLA-B, RBFOX1",DOID:0050745,DOID:8536
226,"('diffuse large B-cell lymphoma', 'allergic rhinitis')",HLA-B,"ZEB2, SLC14A2, IL2RA, TNFSF13",diffuse large B-cell lymphoma,allergic rhinitis," IL2RA,  SLC14A2, HLA-B,  TNFSF13, ZEB2","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and allergic rhinitis. Given list is:  IL2RA,  SLC14A2, HLA-B,  TNFSF13, ZEB2",DOID:0050745,DOID:4481
227,"('diffuse large B-cell lymphoma', 'marginal zone lymphoma')",KALRN,"VAV3, WNT10A, IL12RB2, HLA-DPA1",diffuse large B-cell lymphoma,marginal zone lymphoma," HLA-DPA1, VAV3, KALRN,  IL12RB2,  WNT10A","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and marginal zone lymphoma. Given list is:  HLA-DPA1, VAV3, KALRN,  IL12RB2,  WNT10A",DOID:0050745,DOID:0050748
228,"('diffuse large B-cell lymphoma', 'psoriatic arthritis')",HLA-B,"RORA, TLR1, ADH1B, ARMS2",diffuse large B-cell lymphoma,psoriatic arthritis," ARMS2, RORA,  TLR1,  ADH1B, HLA-B","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and psoriatic arthritis. Given list is:  ARMS2, RORA,  TLR1,  ADH1B, HLA-B",DOID:0050745,DOID:9008
229,"('lung adenocarcinoma', 'interstitial lung disease')",TERT,"FTO, SHTN1, YLPM1, IL23R",lung adenocarcinoma,interstitial lung disease,"TERT,  YLPM1, FTO,  SHTN1,  IL23R","Out of the given list, which Gene is associated with lung adenocarcinoma and interstitial lung disease. Given list is: TERT,  YLPM1, FTO,  SHTN1,  IL23R",DOID:3910,DOID:3082
230,"('lung adenocarcinoma', 'triple-receptor negative breast cancer')",TERT,"BTBD9, RP1, NTM, CASZ1",lung adenocarcinoma,triple-receptor negative breast cancer,"BTBD9,  NTM,  RP1, TERT,  CASZ1","Out of the given list, which Gene is associated with lung adenocarcinoma and triple-receptor negative breast cancer. Given list is: BTBD9,  NTM,  RP1, TERT,  CASZ1",DOID:3910,DOID:0060081
231,"('lung adenocarcinoma', 'idiopathic pulmonary fibrosis')",TERT,"PSCA, SLC14A2, SLC14A2, MTTP",lung adenocarcinoma,idiopathic pulmonary fibrosis," SLC14A2,  SLC14A2,  MTTP, PSCA, TERT","Out of the given list, which Gene is associated with lung adenocarcinoma and idiopathic pulmonary fibrosis. Given list is:  SLC14A2,  SLC14A2,  MTTP, PSCA, TERT",DOID:3910,DOID:0050156
232,"('lung adenocarcinoma', 'myeloproliferative neoplasm')",TERT,"CACNB2, TG, PRKAA1, CACNA1S",lung adenocarcinoma,myeloproliferative neoplasm," TG, CACNB2,  PRKAA1, TERT,  CACNA1S","Out of the given list, which Gene is associated with lung adenocarcinoma and myeloproliferative neoplasm. Given list is:  TG, CACNB2,  PRKAA1, TERT,  CACNA1S",DOID:3910,DOID:2226
233,"('lung adenocarcinoma', 'central nervous system cancer')",TERT,"BTNL2, STAT4, SCN1A, POU5F1B",lung adenocarcinoma,central nervous system cancer," POU5F1B,  SCN1A,  STAT4, TERT, BTNL2","Out of the given list, which Gene is associated with lung adenocarcinoma and central nervous system cancer. Given list is:  POU5F1B,  SCN1A,  STAT4, TERT, BTNL2",DOID:3910,DOID:3620
234,"('lung adenocarcinoma', 'estrogen-receptor negative breast cancer')",TERT,"JRK, IL23R, PLG, PNPLA3",lung adenocarcinoma,estrogen-receptor negative breast cancer,"JRK,  PLG,  PNPLA3, TERT,  IL23R","Out of the given list, which Gene is associated with lung adenocarcinoma and estrogen-receptor negative breast cancer. Given list is: JRK,  PLG,  PNPLA3, TERT,  IL23R",DOID:3910,DOID:0060076
235,"('lung adenocarcinoma', 'lung carcinoma')",TERT,"IL23R, JRK, SLC2A9, PHACTR1",lung adenocarcinoma,lung carcinoma,"TERT, IL23R,  PHACTR1,  SLC2A9,  JRK","Out of the given list, which Gene is associated with lung adenocarcinoma and lung carcinoma. Given list is: TERT, IL23R,  PHACTR1,  SLC2A9,  JRK",DOID:3910,DOID:3905
236,"('psoriatic arthritis', 'psoriasis')",HLA-B,"FAT3, FTO, TYR, DAB2IP",psoriatic arthritis,psoriasis,"HLA-B,  DAB2IP,  TYR,  FTO, FAT3","Out of the given list, which Gene is associated with psoriatic arthritis and psoriasis. Given list is: HLA-B,  DAB2IP,  TYR,  FTO, FAT3",DOID:9008,DOID:8893
237,"('psoriatic arthritis', ""Takayasu's arteritis"")",HLA-B,"PCDH7, SLC2A9, PHGDH, TMC7",psoriatic arthritis,Takayasu's arteritis," TMC7, HLA-B,  SLC2A9, PCDH7,  PHGDH","Out of the given list, which Gene is associated with psoriatic arthritis and Takayasu's arteritis. Given list is:  TMC7, HLA-B,  SLC2A9, PCDH7,  PHGDH",DOID:9008,DOID:2508
238,"('psoriatic arthritis', 'myelodysplastic syndrome')",HLA-B,"ARMS2, PNPLA3, SFRP4, EPDR1",psoriatic arthritis,myelodysplastic syndrome," EPDR1, HLA-B,  SFRP4,  PNPLA3, ARMS2","Out of the given list, which Gene is associated with psoriatic arthritis and myelodysplastic syndrome. Given list is:  EPDR1, HLA-B,  SFRP4,  PNPLA3, ARMS2",DOID:9008,DOID:0050908
239,"('psoriatic arthritis', 'herpes zoster')",HLA-B,"SCN1A, NTM, NANOS1, TLR1",psoriatic arthritis,herpes zoster," NANOS1,  TLR1,  NTM, HLA-B, SCN1A","Out of the given list, which Gene is associated with psoriatic arthritis and herpes zoster. Given list is:  NANOS1,  TLR1,  NTM, HLA-B, SCN1A",DOID:9008,DOID:8536
240,"('psoriatic arthritis', 'allergic rhinitis')",HLA-B,"C5AR1, TENM2, STAT4, RP1",psoriatic arthritis,allergic rhinitis," RP1,  STAT4, C5AR1,  TENM2, HLA-B","Out of the given list, which Gene is associated with psoriatic arthritis and allergic rhinitis. Given list is:  RP1,  STAT4, C5AR1,  TENM2, HLA-B",DOID:9008,DOID:4481
241,"('psoriatic arthritis', 'diffuse large B-cell lymphoma')",HLA-B,"ABCG2, PTK2B, HLA-DQB1, RP1",psoriatic arthritis,diffuse large B-cell lymphoma," HLA-DQB1, ABCG2,  PTK2B, HLA-B,  RP1","Out of the given list, which Gene is associated with psoriatic arthritis and diffuse large B-cell lymphoma. Given list is:  HLA-DQB1, ABCG2,  PTK2B, HLA-B,  RP1",DOID:9008,DOID:0050745
242,"('lung squamous cell carcinoma', 'squamous cell carcinoma')",BRCA2,"DTNB, IGF1R, XBP1, CCDC33",lung squamous cell carcinoma,squamous cell carcinoma,"DTNB, BRCA2,  CCDC33,  IGF1R,  XBP1","Out of the given list, which Gene is associated with lung squamous cell carcinoma and squamous cell carcinoma. Given list is: DTNB, BRCA2,  CCDC33,  IGF1R,  XBP1",DOID:3907,DOID:1749
243,"('lung squamous cell carcinoma', 'estrogen-receptor negative breast cancer')",BRCA2,"CACNA2D1, STAT4, ATXN2, KIF1B",lung squamous cell carcinoma,estrogen-receptor negative breast cancer," STAT4, CACNA2D1,  KIF1B,  ATXN2, BRCA2","Out of the given list, which Gene is associated with lung squamous cell carcinoma and estrogen-receptor negative breast cancer. Given list is:  STAT4, CACNA2D1,  KIF1B,  ATXN2, BRCA2",DOID:3907,DOID:0060076
244,"('lung carcinoma', 'interstitial lung disease')",TERT,"FAM227B, ALDH1A2, KALRN, ATXN2",lung carcinoma,interstitial lung disease," ATXN2, TERT, FAM227B,  ALDH1A2,  KALRN","Out of the given list, which Gene is associated with lung carcinoma and interstitial lung disease. Given list is:  ATXN2, TERT, FAM227B,  ALDH1A2,  KALRN",DOID:3905,DOID:3082
245,"('lung carcinoma', 'triple-receptor negative breast cancer')",TERT,"SLC2A9, HLA-DQA1, WNT10A, MYBPC3",lung carcinoma,triple-receptor negative breast cancer,"TERT, SLC2A9,  MYBPC3,  HLA-DQA1,  WNT10A","Out of the given list, which Gene is associated with lung carcinoma and triple-receptor negative breast cancer. Given list is: TERT, SLC2A9,  MYBPC3,  HLA-DQA1,  WNT10A",DOID:3905,DOID:0060081
246,"('lung carcinoma', 'idiopathic pulmonary fibrosis')",TERT,"LOXL1, HLA-DQB1, PRKAG2, YLPM1",lung carcinoma,idiopathic pulmonary fibrosis," PRKAG2,  YLPM1, TERT, LOXL1,  HLA-DQB1","Out of the given list, which Gene is associated with lung carcinoma and idiopathic pulmonary fibrosis. Given list is:  PRKAG2,  YLPM1, TERT, LOXL1,  HLA-DQB1",DOID:3905,DOID:0050156
247,"('lung carcinoma', 'myeloproliferative neoplasm')",TERT,"MST1, PSCA, TNRC18, OPTN",lung carcinoma,myeloproliferative neoplasm,"TERT, MST1,  OPTN,  TNRC18,  PSCA","Out of the given list, which Gene is associated with lung carcinoma and myeloproliferative neoplasm. Given list is: TERT, MST1,  OPTN,  TNRC18,  PSCA",DOID:3905,DOID:2226
248,"('lung carcinoma', 'central nervous system cancer')",TERT,"PTPN22, C9, CDKAL1, GNE",lung carcinoma,central nervous system cancer," C9,  GNE,  CDKAL1, TERT, PTPN22","Out of the given list, which Gene is associated with lung carcinoma and central nervous system cancer. Given list is:  C9,  GNE,  CDKAL1, TERT, PTPN22",DOID:3905,DOID:3620
249,"('lung carcinoma', 'estrogen-receptor negative breast cancer')",TERT,"TERT, STAT4, SAMD9L, BTNL2",lung carcinoma,estrogen-receptor negative breast cancer," SAMD9L,  BTNL2, TERT, TERT,  STAT4","Out of the given list, which Gene is associated with lung carcinoma and estrogen-receptor negative breast cancer. Given list is:  SAMD9L,  BTNL2, TERT, TERT,  STAT4",DOID:3905,DOID:0060076
250,"('lung carcinoma', 'lung adenocarcinoma')",TERT,"RBFOX1, RP1, TP53, PRKAG2",lung carcinoma,lung adenocarcinoma," RP1, RBFOX1,  TP53,  PRKAG2, TERT","Out of the given list, which Gene is associated with lung carcinoma and lung adenocarcinoma. Given list is:  RP1, RBFOX1,  TP53,  PRKAG2, TERT",DOID:3905,DOID:3910
251,"('endometrial cancer', 'sclerosing cholangitis')",ATXN2,"ADGRG6, FBN1, ATG5, STAT3",endometrial cancer,sclerosing cholangitis,"ATXN2,  FBN1,  STAT3, ADGRG6,  ATG5","Out of the given list, which Gene is associated with endometrial cancer and sclerosing cholangitis. Given list is: ATXN2,  FBN1,  STAT3, ADGRG6,  ATG5",DOID:1380,DOID:14268
252,"('uveal melanoma', 'liver cirrhosis')",CACNA2D1,"GTF2I, ADGRV1, TERT, PRX",uveal melanoma,liver cirrhosis," PRX, CACNA2D1, GTF2I,  ADGRV1,  TERT","Out of the given list, which Gene is associated with uveal melanoma and liver cirrhosis. Given list is:  PRX, CACNA2D1, GTF2I,  ADGRV1,  TERT",DOID:6039,DOID:5082
253,"('uveal melanoma', 'head and neck cancer')",CACNA2D1,"GNE, SAMM50, BARD1, USHBP1",uveal melanoma,head and neck cancer," USHBP1,  BARD1, GNE, CACNA2D1,  SAMM50","Out of the given list, which Gene is associated with uveal melanoma and head and neck cancer. Given list is:  USHBP1,  BARD1, GNE, CACNA2D1,  SAMM50",DOID:6039,DOID:11934
254,"('gastric fundus cancer', 'duodenal ulcer')",PSCA,"CDKAL1, ADH1B, EML4, GSDMB",gastric fundus cancer,duodenal ulcer," GSDMB, PSCA, CDKAL1,  EML4,  ADH1B","Out of the given list, which Gene is associated with gastric fundus cancer and duodenal ulcer. Given list is:  GSDMB, PSCA, CDKAL1,  EML4,  ADH1B",DOID:10538,DOID:1724
255,"('gastric fundus cancer', 'atrophic gastritis')",PSCA,"IL23R, ABO, PLG, RP1",gastric fundus cancer,atrophic gastritis,"PSCA,  PLG, IL23R,  ABO,  RP1","Out of the given list, which Gene is associated with gastric fundus cancer and atrophic gastritis. Given list is: PSCA,  PLG, IL23R,  ABO,  RP1",DOID:10538,DOID:8929
